name,price_pln,max_dc_voltage,mppt_min,mppt_max,max_dc_power,phases,max_mppt_current
Huawei SUN2000-2KTL-M1,1260,1100,120,980,3000,single,11
Huawei SUN2000-3KTL-M1,1890,1100,140,980,4500,single,11
Huawei SUN2000-4KTL-M1,2520,1100,160,980,6000,single,11
Huawei SUN2000-5KTL-M1,3150,1100,200,1000,7500,single,16.5
Huawei SUN2000-6KTL-M1,3780,1100,200,1000,9000,single,16.5
Huawei SUN2000-8KTL-M1,5040,1100,200,1000,12000,single,16.5
Huawei SUN2000-10KTL-M1,6300,1100,200,1000,15000,single,16.5
Huawei SUN2000-12KTL-M2,7560,1080,160,950,18000,three,22
Huawei SUN2000-15KTL-M2,9450,1080,160,950,22500,three,22
Huawei SUN2000-17KTL-M2,10710,1080,160,950,25500,three,22
Huawei SUN2000-20KTL-M2,12600,1080,160,950,30000,three,22
Fronius Primo 3.0-1,3060,1000,200,800,4500,single,18
Fronius Primo 4.0-1,4080,1000,200,800,6000,single,18
Fronius Primo 5.0-1,5100,1000,220,800,7500,single,18
Fronius Primo 6.0-1,6120,1000,270,800,9000,single,18
Fronius Primo 8.2-1,8364,1000,320,800,12300,single,18
Fronius Symo 5.0-3-M,6800,1000,165,800,10000,three,16
Fronius Symo 6.0-3-M,8160,1000,195,800,12000,three,16
Fronius Symo 8.2-3-M,11152,1000,265,800,16400,three,16
Fronius Symo 10.0-3-M,13600,1000,320,800,20000,three,16
Fronius Symo 12.5-3-M,17000,1000,400,800,25000,three,16
SMA Sunny Boy 3.0,2808,600,80,480,3900,single,10
SMA Sunny Boy 4.0,3744,600,80,480,5200,single,10
SMA Sunny Boy 5.0,4680,600,80,480,6500,single,10
SMA Sunny Boy 6.0,5616,600,100,480,7800,single,10
SMA Sunny Tripower 8.0,11520,1000,220,800,16000,three,16
SMA Sunny Tripower 10.0,14400,1000,270,800,20000,three,16
SMA Sunny Tripower 12.0,17280,1000,325,800,24000,three,16
SMA Sunny Tripower 15.0,21600,1000,400,800,30000,three,16
SolarEdge SE3000H,2697,600,200,480,4650,single,16.6
SolarEdge SE5000H,4495,600,200,480,7750,single,16.6
SolarEdge SE6000H,5394,600,200,480,9300,single,16.6
SolarEdge SE8K,7192,600,200,480,12400,single,16.6
SolarEdge SE10K,8990,600,200,480,15500,single,16.6
GoodWe GW3000-DNS,1326,600,80,550,3900,single,12.5
GoodWe GW3648-EM,1591,600,120,550,4680,single,16
GoodWe GW5048D-EM,2210,600,120,550,6500,single,16
GoodWe GW6000-DNS,2652,600,120,550,7800,single,16
GoodWe GW8000-DNS,3536,600,150,550,10400,single,16
GoodWe GW10K-ET,5100,1000,180,850,15000,three,16
GoodWe GW15K-ET,7650,1000,250,850,22500,three,16
Growatt MIN 3000TL-X,1260,550,80,500,4200,single,14
Growatt MIN 3600TL-X,1512,550,80,500,5040,single,14
Growatt MIN 5000TL-X,2100,550,80,500,7000,single,14
Growatt MIN 6000TL-X,2520,550,80,500,8400,single,14
Growatt MOD 10KTL3-X,4500,1100,200,1000,15000,three,26
Growatt MOD 15KTL3-X,6750,1100,250,1000,22500,three,26
Growatt MOD 20KTL3-X,9000,1100,300,1000,30000,three,26
Solax X1-3.0-S,1404,600,100,500,3900,single,15
Solax X1-5.0-S,2340,600,100,500,6500,single,15
Solax X1-7.0-S,3276,600,120,550,9100,single,15
Solax X3-10.0-T,5400,1100,200,950,15000,three,16
Solax X3-15.0-T,8100,1100,250,950,22500,three,16
Deye SUN-3K-SG04LP1,1365,550,125,500,3900,single,16
Deye SUN-5K-SG03LP1,2275,550,125,500,6500,single,16
Deye SUN-8K-SG05LP1,3640,550,150,550,10400,single,16
Deye SUN-12K-SG04LP3,5460,1100,200,950,15600,three,26
Deye SUN-20K-SG05LP3,9100,1100,250,950,26000,three,26
