name,power_watt,efficiency_percent,price_pln,height_cm,width_cm,voc,vmp,Imp,temperature_coefficient_percent_per_c
Jinko Tiger Neo 420W,420,21.5,480,227.4,113.4,49.5,41.2,10.2,-0.29
Jinko Tiger Neo 445W,445,22.0,510,190.3,113.4,49.8,41.6,10.7,-0.29
Jinko Tiger Neo 475W,475,22.5,540,218.2,113.4,50.5,42.8,11.1,-0.29
Jinko Tiger Neo 540W,540,22.3,610,227.4,113.4,52.0,44.5,12.1,-0.29
Jinko Tiger Neo 615W,615,22.0,680,246.5,113.4,55.4,45.7,13.5,-0.29
Longi Hi-MO X6 400W,400,20.8,450,172.2,113.4,48.2,37.8,10.59,-0.30
Longi Hi-MO X6 435W,435,22.3,490,172.2,113.4,49.5,41.5,10.5,-0.30
Longi Hi-MO X6 455W,455,22.5,510,190.3,113.4,50.0,42.0,10.8,-0.30
Longi Hi-MO 7 555W,555,22.3,620,238.2,113.4,52.8,44.2,12.6,-0.29
Longi Hi-MO 7 590W,590,22.8,660,238.2,113.4,53.5,44.8,13.2,-0.29
Trina Vertex S 385W,385,20.0,420,176.2,104.8,46.8,38.5,10.01,-0.32
Trina Vertex S 425W,425,21.5,460,176.2,104.8,47.8,39.4,10.8,-0.32
Trina Vertex S 450W,450,22.0,490,190.3,113.4,49.0,41.0,11.0,-0.32
Trina Vertex N 605W,605,22.3,670,238.4,113.4,52.0,43.5,13.9,-0.30
Trina Vertex N 695W,695,22.5,760,238.4,130.3,53.2,44.5,15.6,-0.30
JA Solar DeepBlue 450W,450,22.0,520,190.3,113.4,50.1,42.5,10.59,-0.28
JA Solar DeepBlue 465W,465,22.1,530,190.3,113.4,50.5,42.8,10.9,-0.28
JA Solar DeepBlue 545W,545,22.5,610,238.2,113.4,52.5,44.0,12.4,-0.28
JA Solar DeepBlue 580W,580,22.6,640,238.2,113.4,53.0,44.5,13.0,-0.28
Canadian Solar HiKu6 405W,405,20.9,460,172.2,113.4,49.0,39.1,10.36,-0.31
Canadian Solar HiKu7 445W,445,22.0,500,190.3,113.4,49.8,41.8,10.6,-0.31
Canadian Solar HiKu7 520W,520,22.1,580,218.2,113.4,51.5,43.2,12.0,-0.30
Canadian Solar HiKu7 600W,600,22.2,670,238.2,113.4,54.2,45.5,13.2,-0.30
Risen Energy Titan S 410W,410,21.0,440,176.2,113.4,48.5,40.2,10.2,-0.31
Risen Energy Titan S 440W,440,21.5,470,190.3,113.4,49.5,41.5,10.6,-0.31
Risen Energy Titan S 550W,550,22.2,600,238.2,113.4,52.5,44.0,12.5,-0.30
Astronergy CHSM54N-HC 415W,415,21.2,450,176.2,113.4,48.8,40.5,10.25,-0.30
Astronergy CHSM66N-HC 510W,510,21.4,560,218.2,113.4,50.8,42.5,12.0,-0.29
Astronergy CHSM72N-HC 595W,595,22.5,660,238.2,113.4,53.8,45.0,13.2,-0.29
Qcells Q.PEAK DUO BLK ML-G10+ 400W,400,20.9,460,187.9,104.5,45.8,38.5,10.4,-0.34
Qcells Q.PEAK DUO ML-G10+ 420W,420,21.4,480,190.3,113.4,49.0,41.0,10.25,-0.34
Qcells Q.PEAK DUO ML-G10+ 450W,450,21.8,510,190.3,113.4,49.8,41.8,10.8,-0.34
REC Alpha Pure 405W,405,21.7,520,172.1,101.6,44.5,37.1,10.9,-0.26
REC Alpha Pure-R 430W,430,22.3,550,190.3,104.5,47.5,39.8,10.8,-0.26
SunPower Maxeon 3 415W,415,22.6,580,169.0,104.6,42.5,35.5,11.7,-0.27
SunPower Maxeon 6 435W,435,22.8,600,187.9,103.9,44.2,37.0,11.8,-0.27
Panasonic EverVolt 410W,410,21.2,550,171.8,101.6,41.8,35.0,11.7,-0.26
Panasonic EverVolt 480W,480,22.2,640,190.3,104.6,44.5,37.5,12.8,-0.26
Meyer Burger White 390W,390,21.4,520,176.7,104.8,46.2,38.5,10.13,-0.28
Meyer Burger White 415W,415,21.8,550,190.1,104.8,47.0,39.2,10.6,-0.28
Axitec AXIpower XXL 530W,530,21.5,580,227.8,113.4,51.5,43.0,12.3,-0.32
HT-SAAE HiPower 550W,550,22.0,600,238.2,113.4,52.2,43.8,12.6,-0.30
Talesun BIPRO TG660M 660W,660,22.8,720,238.4,130.3,54.5,45.8,14.4,-0.29
DMEGC N-TOPCon 580W,580,22.5,640,238.2,113.4,53.0,44.5,13.0,-0.29
